Plate Date,Trial,Hour,temp,no germ,germ,per_germ
13-Jul,1,12,5,22,78,78
13-Jul,1,12,5,48,52,52
13-Jul,1,12,5,51,49,49
13-Jul,1,12,5,17,83,83
13-Jul,1,12,5,36,64,64
13-Jul,1,12,5,32,68,68
13-Jul,1,12,5,61,39,39
13-Jul,1,12,5,38,62,62
13-Jul,1,12,5,23,77,77
13-Jul,1,12,5,37,63,63
13-Jul,1,12,10,55,45,45
13-Jul,1,12,10,67,33,33
13-Jul,1,12,10,64,36,36
13-Jul,1,12,10,70,30,30
13-Jul,1,12,10,78,22,22
13-Jul,1,12,10,74,26,26
13-Jul,1,12,10,80,20,20
13-Jul,1,12,10,75,25,25
13-Jul,1,12,10,60,40,40
13-Jul,1,12,10,70,30,30
13-Jul,1,12,15,80,20,20
13-Jul,1,12,15,79,21,21
13-Jul,1,12,15,88,12,12
13-Jul,1,12,15,78,22,22
13-Jul,1,12,15,80,20,20
13-Jul,1,12,15,81,19,19
13-Jul,1,12,15,68,32,32
13-Jul,1,12,15,74,26,26
13-Jul,1,12,15,72,28,28
13-Jul,1,12,15,69,31,31
13-Jul,1,12,20,86,14,14
13-Jul,1,12,20,79,21,21
13-Jul,1,12,20,89,11,11
13-Jul,1,12,20,85,15,15
13-Jul,1,12,20,86,14,14
13-Jul,1,12,20,80,20,20
13-Jul,1,12,20,85,15,15
13-Jul,1,12,20,75,25,25
13-Jul,1,12,20,90,10,10
13-Jul,1,12,20,79,21,21
13-Jul,1,12,25,91,9,9
13-Jul,1,12,25,96,4,4
13-Jul,1,12,25,94,6,6
13-Jul,1,12,25,91,9,9
13-Jul,1,12,25,91,9,9
13-Jul,1,12,25,90,10,10
13-Jul,1,12,25,94,6,6
13-Jul,1,12,25,86,14,14
13-Jul,1,12,25,92,8,8
13-Jul,1,12,25,89,11,11
13-Jul,1,24,5,28,72,72
13-Jul,1,24,5,50,50,50
13-Jul,1,24,5,47,53,53
13-Jul,1,24,5,37,63,63
13-Jul,1,24,5,43,57,57
13-Jul,1,24,5,45,55,55
13-Jul,1,24,5,56,44,44
13-Jul,1,24,5,42,58,58
13-Jul,1,24,5,42,58,58
13-Jul,1,24,5,38,62,62
13-Jul,1,24,10,74,26,26
13-Jul,1,24,10,67,33,33
13-Jul,1,24,10,72,28,28
13-Jul,1,24,10,74,26,26
13-Jul,1,24,10,70,30,30
13-Jul,1,24,10,64,36,36
13-Jul,1,24,10,62,38,38
13-Jul,1,24,10,70,30,30
13-Jul,1,24,10,51,49,49
13-Jul,1,24,10,64,36,36
13-Jul,1,24,15,81,19,19
13-Jul,1,24,15,80,20,20
13-Jul,1,24,15,84,16,16
13-Jul,1,24,15,85,15,15
13-Jul,1,24,15,88,12,12
13-Jul,1,24,15,80,20,20
13-Jul,1,24,15,79,21,21
13-Jul,1,24,15,82,18,18
13-Jul,1,24,15,72,28,28
13-Jul,1,24,15,71,29,29
13-Jul,1,24,20,92,8,8
13-Jul,1,24,20,85,15,15
13-Jul,1,24,20,83,17,17
13-Jul,1,24,20,87,13,13
13-Jul,1,24,20,80,20,20
13-Jul,1,24,20,85,15,15
13-Jul,1,24,20,90,10,10
13-Jul,1,24,20,87,13,13
13-Jul,1,24,20,82,18,18
13-Jul,1,24,20,85,15,15
13-Jul,1,24,25,87,13,13
13-Jul,1,24,25,86,14,14
13-Jul,1,24,25,87,13,13
13-Jul,1,24,25,85,15,15
13-Jul,1,24,25,90,10,10
13-Jul,1,24,25,82,18,18
13-Jul,1,24,25,85,15,15
13-Jul,1,24,25,82,18,18
13-Jul,1,24,25,78,22,22
13-Jul,1,24,25,86,14,14
14-Jul,2,4,5,93,7,7
14-Jul,2,4,5,90,10,10
14-Jul,2,4,5,84,16,16
14-Jul,2,4,5,91,9,9
14-Jul,2,4,5,91,9,9
14-Jul,2,4,5,92,8,8
14-Jul,2,4,5,96,4,4
14-Jul,2,4,5,93,7,7
14-Jul,2,4,5,85,15,15
14-Jul,2,4,5,94,6,6
14-Jul,2,4,10,92,8,8
14-Jul,2,4,10,94,6,6
14-Jul,2,4,10,93,7,7
14-Jul,2,4,10,90,10,10
14-Jul,2,4,10,91,9,9
14-Jul,2,4,10,94,6,6
14-Jul,2,4,10,85,15,15
